fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Homoglyph,xn--fcbook-43a274d.com,,,,,,,,
Homoglyph,facebooilc.com,,,,,,,,
Homoglyph,xn--acebok-2tb602f.com,,,,,,,,
Homoglyph,xn--faebok-4rb256b.com,,,,,,,,
Homoglyph,xn--fcebk-9qa0la.com,,,,,,,,
Homoglyph,xn--febook-iua689c.com,,,,,,,,
Homoglyph,xn--fcebk-mra6ja.com,,,,,,,,
Homoglyph,xn--facebooi-d66f.com,,,,,,,,
Homoglyph,xn--facelbok-bgd.com,,,,,,,,
Homoglyph,xn--fcbook-qva04w.com,,,,,,,,
Homoglyph,xn--facebk-0qfa.com,,,,,,,,
Homoglyph,xn--cebook-voc716a.com,,,,,,,,
Homoglyph,xn--facbok-rva809c.com,,,,,,,,
Homoglyph,xn--acbook-jva706e.com,,,,,,,,
Homoglyph,xn--facebo-1qf0373f.com,,,,,,,,
Homoglyph,xn--faceblc-p0aa.com,,,,,,,,
Homoglyph,xn--fcebok-35b8150d.com,,,,,,,,
Homoglyph,xn--facbk-l0a16qa.com,,,,,,,,
Homoglyph,xn--faebok-xua7j.com,,,,,,,,
Homoglyph,xn--fceboo-wta5160g.com,,,,,,,,
Homoglyph,xn--facedok-0mh.com,,,,,,,,
Homoglyph,xn--aceboolc-hxh.com,,,,,,,,
Homoglyph,xn--facelbok-s4a.com,,,,,,,,
Homoglyph,xn--facek-xoba63l.com,,,,,,,,
Homoglyph,xn--fcebok-ita663f.com,,,,,,,,
Homoglyph,xn--facbok-k4a175d.com,,,,,,,,
Homoglyph,xn--fcbook-bua32b.com,,,,,,,,
Homoglyph,xn--faceok-stf81w.com,,,,,,,,
Homoglyph,xn--facelbk-1mha.com,,,,,,,,
Homoglyph,xn--faebk-zra101da.com,,,,,,,,
Homoglyph,xn--facbok-dvf29i.com,,,,,,,,
Homoglyph,xn--facbok-r3a306d.com,,,,,,,,
Homoglyph,xn--faceoolc-h7d.com,,,,,,,,
Homoglyph,xn--faeb00k-35a.com,,,,,,,,
Homoglyph,xn--acebok-fxa08j.com,,,,,,,,
Homoglyph,xn--fcebk-rqa1na.com,,,,,,,,
Homoglyph,xn--faceok-l0e52g.com,,,,,,,,
Homoglyph,xn--fcbook-i0a956d.com,,,,,,,,
Homoglyph,xn--fcebk-xoba1050d.com,,,,,,,,
Homoglyph,xn--facebook-i2a.com,,,,,,,,
Homoglyph,xn--fcbook-i0a1p.com,,,,,,,,
Homoglyph,xn--facbok-7wb5960d.com,,,,,,,,
Homoglyph,xn--fcebk-xqa1574ca.com,,,,,,,,
Homoglyph,xn--acebok-2tb9990d.com,,,,,,,,
Homoglyph,xn--facebolk-4dg.com,,,,,,,,
Homoglyph,xn--faebk-5xa069ba.com,,,,,,,,
Homoglyph,xn--facebolc-4dg.com,,,,,,,,
Homoglyph,xn--febook-bua62a.com,,,,,,,,
Homoglyph,xn--febook-wua37w.com,,,,,,,,
Homoglyph,xn--acebok-l0e50o.com,,,,,,,,
Homoglyph,xn--faceok-sxc856d.com,,,,,,,,
Homoglyph,xn--facbk-muaa537c.com,,,,,,,,
Homoglyph,xn--faebok-4rb356b.com,,,,,,,,
Homoglyph,xn--facedok-gx4c.com,,,,,,,,
Homoglyph,xn--fcebok-ita9m.com,,,,,,,,
Homoglyph,xn--faceb0k-epf.com,,,,,,,,
Homoglyph,xn--febook-35b221b.com,,,,,,,,
Homoglyph,xn--aceb0ok-w1b.com,,,,,,,,
Homoglyph,xn--fabook-cva5y.com,,,,,,,,
Homoglyph,xn--facbk-muaa748e.com,,,,,,,,
Homoglyph,xn--facebo-fmh5111f.com,,,,,,,,
Homoglyph,xn--fcebok-iua759c.com,,,,,,,,
Homoglyph,xn--facebik-x2ca.com,,,,,,,,
Homoglyph,xn--facbk-myea7o.com,,,,,,,,
Homoglyph,xn--faebok-41a120f.com,,,,,,,,
Homoglyph,xn--facebook-jcg.com,,,,,,,,
Homoglyph,xn--acbook-qva74k.com,,,,,,,,
Homoglyph,xn--febook-i0a457d.com,,,,,,,,
Homoglyph,xn--faebok-c1a350f.com,,,,,,,,
Homoglyph,xn--facb0ok-ts4c.com,,,,,,,,
Homoglyph,xn--fcebok-pta600e.com,,,,,,,,
Homoglyph,xn--faebk-zra212ca.com,,,,,,,,
Homoglyph,xn--facbok-lqc443c.com,,,,,,,,
Homoglyph,xn--faceok-eof9h.com,,,,,,,,
Homoglyph,xn--fcebk-gra2ia.com,91.195.240.82,,,ns1bdg.name.com,Germany,,,0
Homoglyph,xn--facek-3taa869d.com,,,,,,,,
Homoglyph,xn--facbok-y4a271g.com,,,,,,,,
Homoglyph,xn--fceboolk-nx0d.com,,,,,,,,
Homoglyph,xn--cebook-9ta756e.com,,,,,,,,
Homoglyph,xn--faebok-c1a486c.com,,,,,,,,
Homoglyph,xn--fceboolc-nx0d.com,,,,,,,,
